virus,abbrv,family,enveloped,vector,chronic,plant,contact,emerging,fecaloral,protein,short,exposed,polymerase,protease,structural
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,NS2,NS2,F,F,F,F
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,PA,PA,F,T,F,F
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,PB1,PB1,F,T,F,F
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,PB2,PB2,F,T,F,F
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,HA,HA,T,F,F,T
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,M1,M1,F,F,F,T
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,M2,M2,T,F,F,T
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,NA,NA,T,F,F,T
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,NP,NP,F,F,F,T
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,NS1,NS1,F,F,F,F
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,NS2,NS2,F,F,F,F
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,PA,PA,F,T,F,F
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,PB1,PB1,F,T,F,F
IBV,IBV,Orthomyxoviridae,T,F,F,F,F,T,F,PB2,PB2,F,T,F,F
lyssavirus,RABV,Rhabdoviridae,T,T,F,F,F,F,F,glycoprotein,G,T,F,F,T
lyssavirus,RABV,Rhabdoviridae,T,T,F,F,F,F,F,matrix protein,M,F,F,F,T
lyssavirus,RABV,Rhabdoviridae,T,T,F,F,F,F,F,nucleoprotein,F,F,F,F,T
lyssavirus,RABV,Rhabdoviridae,T,T,F,F,F,F,F,phosphoprotein,P,F,F,F,T
lyssavirus,RABV,Rhabdoviridae,T,T,F,F,F,F,F,polymerase,L,F,T,F,T
Mastro1,MastV,Astroviridae,F,F,F,F,F,T,T,VP27,VP27,T,F,F,T
Mastro1,MastV,Astroviridae,F,F,F,F,F,T,T,VP34,VP34,T,F,F,T
Mastro1,MastV,Astroviridae,F,F,F,F,F,T,T,RdRp,RdRp,F,T,F,F
Mastro1,MastV,Astroviridae,F,F,F,F,F,T,T,serine-protease,Pro,F,F,T,F
measles,MeV,Paramyxoviridae,T,F,F,F,F,F,F,fusion protein,F,T,F,F,T
measles,MeV,Paramyxoviridae,T,F,F,F,F,F,F,hemagglutinin protein,H,T,F,F,T
measles,MeV,Paramyxoviridae,T,F,F,F,F,F,F,large polymerase protein,L,F,T,F,F
measles,MeV,Paramyxoviridae,T,F,F,F,F,F,F,matrix protein,M,F,F,F,T
measles,MeV,Paramyxoviridae,T,F,F,F,F,F,F,nucleocapsid protein,F,F,F,F,T
measles,MeV,Paramyxoviridae,T,F,F,F,F,F,F,phosphoprotein,P,F,T,F,F
mumps,MuV,Paramyxoviridae,T,F,F,F,F,F,F,fusion protein,F,T,F,F,T
mumps,MuV,Paramyxoviridae,T,F,F,F,F,F,F,hemagglutinin,H,T,F,F,T
mumps,MuV,Paramyxoviridae,T,F,F,F,F,F,F,large polymerase protein,L,F,T,F,F
mumps,MuV,Paramyxoviridae,T,F,F,F,F,F,F,matrix protein,M,F,F,F,T
mumps,MuV,Paramyxoviridae,T,F,F,F,F,F,F,nucleocapsid protein,F,F,F,F,T
mumps,MuV,Paramyxoviridae,T,F,F,F,F,F,F,phosphoprotein,P,F,T,F,F
mumps,MuV,Paramyxoviridae,T,F,F,F,F,F,F,small hydrophobic protein,SH,F,F,F,F
orthobornavirus,BDV,Bornaviridae,T,F,F,F,F,T,F,glycoprotein,G,T,F,F,T
orthobornavirus,BDV,Bornaviridae,T,F,F,F,F,T,F,matrix protein,M,F,F,F,T
orthobornavirus,BDV,Bornaviridae,T,F,F,F,F,T,F,nucleoprotein,F,F,F,F,T
orthobornavirus,BDV,Bornaviridae,T,F,F,F,F,T,F,phosphoprotein,P,F,T,F,F
orthobornavirus,BDV,Bornaviridae,T,F,F,F,F,T,F,RNA dependent RNA polymerase,L,F,T,F,F
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-2A,2A,F,F,T,F
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-2B,2B,F,F,F,F
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-2C,2C,F,F,F,F
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-3AB,3AB,F,F,F,F
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-3C,3C,F,F,T,F
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-3D,3D,F,T,F,F
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-VP1,VP1,T,F,F,T
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-VP2,VP2,T,F,F,T
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-VP3,VP3,T,F,F,T
polio,PV,Picornaviridae,F,F,F,F,F,F,T,protein-VP4,VP4,F,F,F,T
Potato,PVX,Alphaflexiviridae,F,F,F,T,T,F,F,12 kD membrane-bound,TGB2,F,F,F,T
Potato,PVX,Alphaflexiviridae,F,F,F,T,T,F,F,8 kD membrane-bound,TGB3,F,F,F,F
Potato,PVX,Alphaflexiviridae,F,F,F,T,T,F,F,capsid protein,CP,F,F,F,F
Potato,PVX,Alphaflexiviridae,F,F,F,T,T,F,F,NTP-binding helicase,TGB1,F,F,F,F
Potato,PVX,Alphaflexiviridae,F,F,F,T,T,F,F,RNA-replicating protein,RdRp,F,T,F,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,6K1,6K1,F,F,F,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,6K2,6K2,F,F,F,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,CI,CI,F,F,F,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,coat,CP,F,F,F,T
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,HC-Pro,HC-Pro,F,F,F,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,NIa-Pro,NIa-Pro,F,F,T,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,NIa-VPg,NIa-VPg,F,F,F,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,NIb,NIb,F,T,F,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,P1,P1,F,F,T,F
PotatoY,PVY,Potyviridae,F,T,F,T,F,F,F,P3,P3,F,F,F,F
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,1A,VP4,F,F,F,T
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,1B,VP2,T,F,F,T
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,1C,VP3,T,F,F,T
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,1D,VP1,T,F,F,T
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,2A,2A,F,F,T,F
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,2B,2B,F,F,F,F
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,2C,2C,F,F,F,F
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,3AB,3AB,F,F,F,F
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,3C,3C,F,F,T,F
RhinoA,RV,Picornaviridae,F,F,F,F,F,F,F,3D,RdRp,F,T,F,F
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,NSP1,NSP1,F,F,F,F
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,NSP2,NSP2,F,F,F,F
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,NSP3,NSP3,F,F,F,F
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,NSP4,NSP4,F,F,F,F
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,NSP5,NSP5,F,F,F,F
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,VP1,RdRp,F,T,F,F
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,VP2,VP2,F,F,F,T
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,VP3,VP3,F,F,F,F
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,VP4,VP4,T,F,F,T
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,VP6,VP6,F,F,F,T
RotaA,RotV,Sedoreoviridae,F,F,F,F,F,F,T,VP7,VP7,T,F,F,T
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,attachment protein,G,T,F,F,T
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,fusion protein,F,T,F,F,T
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,large protein,L,F,T,F,F
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,matrix protein,M,F,F,F,T
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,matrix protein 2-1,M2-1,F,F,F,F
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,matrix protein 2-2,M2-2,F,F,F,F
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,nonstructural protein 1,nsp1,F,F,F,F
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,nonstructural protein 2,nsp2,F,F,F,F
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,nucleoprotein,F,F,F,F,T
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,phosphoprotein,P,F,T,F,F
rsv,RSV,Pneumoviridae,T,F,F,F,F,F,F,small hydrophobic protein,SH,T,F,F,T
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,core protein,CP,F,F,F,T
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,envelope protein E,E,T,F,F,T
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,matrix protein M,M,F,F,F,T
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,non-structural protein NS1,NS1,F,F,F,F
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,non-structural protein NS2a,NS2a,F,F,F,F
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,non-structural protein NS2b,NS2b,F,F,F,F
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,non-structural protein NS3,NS3,F,F,T,F
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,non-structural protein NS4a,NS4a,F,F,F,F
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,non-structural protein NS4b,NS4b,F,F,F,F
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,non-structural protein NS5,RdRp,F,T,F,F
TBEV,TBEV,Flaviviridae,T,T,F,F,F,T,F,pre protein,pr,F,F,F,T
Tobacco,TMV,Virgaviridae,F,F,F,T,T,F,F,coat protein,CP,F,F,F,T
Tobacco,TMV,Virgaviridae,F,F,F,T,T,F,F,movement protein,MP,F,F,F,F
Tobacco,TMV,Virgaviridae,F,F,F,T,T,F,F,RdRp,RdRp,F,T,F,F
Tobacco,TMV,Virgaviridae,F,F,F,T,T,F,F,replication protein,RP,F,T,F,F
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,6K,6K,F,F,F,F
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,capsid,CA,F,F,F,F
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,E1,E1,T,F,F,T
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,E2,E2,T,F,F,T
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,E3,E3,F,F,F,F
